Lämpötilan keskiarvo [°C],Alin lämpötila [°C],Ylin lämpötila [°C],Tunnin sademäärä [mm],Suhteellisen kosteuden keskiarvo [%],Ilmanpaineen keskiarvo [hPa],Keskituulen nopeus [m/s],Kovin keskituulen nopeus [m/s],Kovin puuska [m/s],Tuulen suunnan keskiarvo [°]
19.6,18.8,20.3,0.0,58,997.6,4.5,5.0,8.0,114.0
20.3,19.5,21.0,0.0,57,997.4,4.3,4.8,7.3,116.0
19.7,18.9,20.5,0.0,60,996.9,4.2,5.1,7.1,113.0
18.9,18.5,19.2,0.0,62,996.8,4.3,5.3,7.2,106.0
18.4,18.2,18.5,0.0,66,996.7,3.5,4.4,6.3,105.0
17.9,17.3,18.3,0.0,71,996.6,3.8,5.3,6.8,99.0
16.9,16.5,17.3,0.4,82,996.5,2.5,3.8,4.4,77.0
16.2,15.9,16.5,0.3,91,996.4,2.5,2.7,3.8,61.0
16.0,15.7,16.2,0.5,91,996.4,2.2,2.5,4.1,55.0
15.6,15.4,15.8,1.1,96,996.4,2.5,3.6,4.5,28.0
15.4,15.2,15.5,2.3,98,996.5,3.3,3.8,4.9,18.0
15.0,14.7,15.2,0.9,100,996.8,2.6,3.2,4.2,357.0
14.8,14.7,14.9,0.9,100,996.8,2.6,2.9,4.5,348.0
14.9,14.7,14.9,0.0,100,996.8,2.5,3.0,4.6,337.0
14.8,14.8,14.9,0.0,100,996.8,2.4,2.7,4.8,333.0
14.7,14.6,14.8,0.0,100,996.8,2.4,2.8,4.4,337.0
14.7,14.5,14.8,0.0,99,996.9,2.1,2.4,3.9,342.0
14.7,14.6,14.9,0.0,100,997.2,2.3,2.7,3.9,324.0
15.0,14.8,15.2,0.0,99,997.5,2.2,2.7,3.8,320.0
15.9,15.2,16.4,0.0,93,997.9,1.6,2.4,3.1,340.0
16.4,16.3,16.9,0.0,91,998.0,1.8,2.5,4.6,337.0
17.1,16.8,17.9,0.0,85,998.1,2.4,2.9,4.4,339.0
17.8,17.5,18.2,0.0,80,998.6,2.0,2.8,3.9,298.0
18.7,18.3,19.0,0.0,70,998.8,2.5,3.1,4.5,295.0
19.6,18.6,20.8,0.0,62,999.0,1.4,2.3,3.8,268.0
21.1,20.5,22.4,0.0,60,999.0,3.6,4.7,7.1,216.0
21.3,20.3,22.6,0.0,62,999.1,4.2,4.6,7.3,226.0
21.3,20.5,22.0,0.0,63,999.3,4.9,5.8,7.8,237.0
20.6,20.3,21.2,0.0,67,999.5,4.0,4.6,6.8,260.0
21.4,20.6,22.3,0.0,62,999.8,4.8,6.5,9.1,275.0
20.5,20.2,20.6,0.0,64,1000.2,3.7,4.4,7.1,276.0
20.2,19.9,20.3,0.0,65,1000.4,3.7,4.5,7.2,280.0
19.3,18.5,19.9,0.0,67,1000.9,3.7,4.3,6.4,283.0
18.4,17.8,18.6,0.0,66,1001.4,3.6,3.9,6.0,275.0
17.5,17.3,17.8,0.0,75,1001.9,4.8,5.2,7.6,263.0
16.8,16.3,17.4,0.0,74,1002.4,5.2,6.1,8.1,266.0
16.1,15.7,16.5,0.0,75,1002.6,5.2,6.3,9.4,272.0
15.5,15.1,15.7,0.0,81,1002.8,4.7,5.1,7.8,274.0
14.5,14.1,15.1,0.0,89,1003.2,3.9,4.3,6.3,269.0
13.9,13.4,14.3,0.0,95,1003.1,4.0,4.4,6.0,271.0
13.4,13.3,13.5,0.0,98,1003.2,3.2,3.9,5.1,276.0
14.4,13.5,15.1,0.0,93,1003.6,3.0,3.4,4.7,272.0
16.1,15.1,16.9,0.0,84,1003.9,2.6,3.5,4.8,269.0
17.6,16.9,18.2,0.0,75,1004.2,3.0,3.3,4.9,265.0
17.8,17.5,18.1,0.0,74,1004.7,3.2,3.9,5.4,224.0
18.8,17.4,20.1,0.0,68,1004.9,3.5,4.4,6.1,219.0
18.8,18.3,19.5,0.0,66,1004.8,3.2,3.8,6.3,223.0
20.1,19.5,20.7,0.0,61,1004.9,3.7,4.3,6.0,207.0
19.6,19.2,20.4,0.0,64,1005.0,5.5,6.6,8.6,212.0
19.7,19.0,20.3,0.0,66,1005.1,5.8,7.1,9.7,213.0
19.2,18.9,19.5,0.0,68,1005.1,5.8,7.2,9.2,225.0
19.8,19.1,20.6,0.0,60,1005.0,5.1,6.3,8.8,226.0
19.7,19.5,20.0,0.0,58,1004.7,5.0,5.8,8.0,228.0
19.2,18.8,19.5,0.0,60,1004.7,4.3,5.8,7.7,227.0
18.8,18.7,18.9,0.0,58,1004.7,3.7,4.5,6.3,228.0
18.1,17.8,18.6,0.0,62,1004.5,3.5,4.0,6.0,232.0
17.3,16.8,17.8,0.0,67,1004.5,3.7,4.3,6.0,234.0
16.8,16.7,16.9,0.0,73,1004.6,3.4,3.8,5.1,254.0
16.5,16.0,16.9,0.0,74,1004.6,3.7,4.2,5.8,269.0
16.1,15.4,16.5,0.0,73,1004.6,3.8,4.6,6.2,275.0
14.9,14.2,15.5,0.0,79,1004.4,3.3,3.6,5.1,283.0
14.1,13.8,14.3,0.0,86,1004.3,3.4,3.8,5.4,285.0
14.2,14.0,14.4,0.0,86,1003.9,3.4,3.8,5.2,283.0
13.9,13.7,14.2,0.0,86,1003.6,3.4,4.2,5.4,289.0
13.7,13.7,13.9,0.0,86,1003.6,3.4,3.7,5.7,292.0
14.0,13.9,14.1,0.0,84,1003.4,3.3,3.6,5.3,286.0
14.3,14.1,14.6,0.0,83,1003.0,3.2,3.5,5.5,289.0
14.8,14.6,15.0,0.0,80,1002.7,3.1,3.9,5.9,286.0
15.3,15.0,15.6,0.0,77,1002.3,3.4,4.2,6.1,285.0
16.2,15.6,16.7,0.0,72,1002.3,3.4,3.9,6.0,285.0
17.1,16.6,17.7,0.0,67,1002.4,3.8,4.7,6.7,276.0
18.2,17.6,18.9,0.0,63,1002.0,3.0,3.8,6.8,271.0
19.6,18.8,21.0,0.0,52,1001.5,3.6,4.8,7.2,261.0
20.3,18.5,21.3,0.0,55,1001.1,5.3,6.8,9.2,222.0
17.6,17.2,18.4,0.0,66,1001.1,5.6,7.2,9.6,223.0
19.5,18.4,20.6,0.0,62,1000.6,4.0,5.1,7.1,238.0
19.8,18.2,21.3,0.0,56,1000.4,4.4,5.6,8.0,268.0
19.2,17.5,21.1,0.0,60,1000.1,6.7,8.3,11.8,225.0
17.4,16.9,18.3,0.0,67,1000.1,5.8,6.7,9.6,229.0
16.8,16.4,17.2,0.0,64,1000.2,3.6,5.7,7.8,258.0
16.0,15.6,16.6,0.0,70,1000.2,4.4,5.1,7.3,234.0
15.3,15.1,15.6,0.0,79,1000.3,5.0,6.0,8.6,240.0
14.9,14.5,15.2,0.0,83,1000.1,4.7,5.7,7.4,241.0
14.4,14.1,14.7,0.0,86,1000.0,4.6,5.1,7.2,239.0
14.2,13.9,14.4,0.0,88,999.9,4.3,5.0,8.0,241.0
13.8,13.6,14.0,0.0,91,999.7,4.0,4.5,7.3,245.0
13.4,13.2,13.7,0.0,94,999.7,3.8,4.2,5.9,239.0
13.1,12.8,13.3,0.0,97,999.5,3.8,4.3,5.6,235.0
13.4,13.2,13.9,0.0,95,999.5,3.7,4.2,5.7,240.0
14.7,14.0,15.4,0.0,90,999.5,4.0,4.3,6.7,233.0
16.1,15.5,16.8,0.0,83,999.6,4.2,5.2,7.7,230.0
17.3,16.7,18.0,0.0,77,999.5,4.6,5.3,8.1,228.0
18.6,17.9,19.2,0.0,70,999.5,5.1,6.0,8.8,222.0
18.9,17.9,19.9,0.0,67,999.5,6.2,7.0,10.5,214.0
19.1,18.3,19.9,0.0,66,999.4,7.1,8.4,13.6,225.0
19.5,18.8,20.2,0.0,67,999.3,7.3,9.0,12.4,225.0
18.7,18.2,18.9,0.0,73,999.4,6.4,7.6,11.8,228.0
17.5,17.0,18.3,0.3,86,999.6,5.5,7.2,10.3,230.0
16.1,15.4,17.2,6.1,98,1000.0,3.2,3.9,6.0,257.0
16.2,15.9,16.3,0.4,100,1000.3,3.6,4.0,6.5,238.0
16.0,15.7,16.4,1.2,100,1000.5,4.8,5.6,9.8,235.0
15.6,15.5,15.8,1.3,100,1000.6,5.3,6.0,9.1,228.0
15.7,15.6,15.9,0.1,100,1000.7,4.8,6.0,8.3,234.0
15.8,15.7,15.9,0.0,100,1000.9,4.7,5.3,7.4,234.0
15.8,15.8,15.9,0.5,100,1001.1,4.5,5.3,7.8,245.0
15.7,15.7,15.8,0.0,100,1001.2,3.9,4.1,5.7,244.0
15.7,15.6,15.8,0.0,100,1001.4,4.0,4.3,6.2,245.0
15.7,15.7,15.8,0.0,100,1001.8,4.0,4.5,7.0,258.0
15.7,15.5,15.9,0.0,100,1002.3,4.2,4.7,6.7,253.0
15.3,15.0,15.6,0.0,100,1002.6,3.9,4.2,6.0,241.0
14.7,14.6,15.0,0.0,100,1002.8,4.2,4.6,6.2,235.0
14.4,14.2,14.7,0.0,100,1003.0,3.9,4.8,6.8,236.0
14.5,14.2,15.0,0.0,100,1003.1,3.2,4.0,5.4,239.0
15.7,15.0,16.1,0.0,100,1003.4,3.8,4.3,6.2,232.0
16.9,16.1,17.5,0.0,96,1003.6,4.1,5.2,7.4,230.0
18.1,17.5,19.0,0.0,89,1003.8,4.5,4.9,7.2,231.0
19.4,18.7,19.8,0.0,83,1004.0,4.9,5.7,7.7,226.0
20.1,19.5,20.6,0.0,80,1004.2,5.5,6.3,8.9,223.0
20.8,20.4,21.2,0.0,77,1004.4,6.0,6.7,9.3,221.0
21.5,20.9,22.3,0.0,74,1004.7,5.5,6.5,8.7,217.0
21.9,21.1,22.5,0.0,66,1005.1,5.5,6.5,9.6,218.0
22.1,21.4,22.6,0.0,61,1005.3,6.1,7.4,10.3,218.0
22.9,22.3,23.3,0.0,53,1005.5,6.0,6.5,10.5,219.0
23.2,22.8,23.6,0.0,47,1005.5,5.5,6.7,9.7,227.0
22.9,22.4,23.3,0.0,46,1005.3,4.8,5.3,7.7,236.0
21.6,20.9,22.6,0.0,53,1005.4,3.8,4.9,6.3,229.0
20.4,19.7,20.9,0.0,56,1005.7,3.1,3.9,5.0,225.0
19.1,18.4,19.7,0.0,66,1006.0,3.2,3.5,5.4,219.0
17.9,17.4,18.4,0.0,78,1006.0,3.0,3.8,5.4,241.0
17.5,17.3,17.7,0.0,81,1006.0,1.4,2.1,3.0,216.0
17.3,17.1,17.8,0.0,82,1006.0,0.9,1.4,1.7,232.0
16.9,16.4,17.2,0.0,89,1005.8,0.7,1.2,1.3,215.0
16.5,16.4,16.6,0.0,92,1005.9,1.6,2.4,3.2,254.0
16.3,16.2,16.6,0.0,95,1006.0,2.4,3.0,3.5,293.0
16.4,15.9,16.6,0.8,98,1006.2,1.5,2.5,4.3,113.0
15.4,14.8,15.9,0.0,100,1005.9,1.6,2.2,2.6,313.0
14.9,14.6,15.2,0.0,98,1005.7,1.7,1.9,2.7,342.0
14.4,14.2,14.9,2.0,99,1005.6,2.1,2.4,3.6,353.0
14.7,14.3,15.0,0.3,100,1005.2,1.9,2.3,3.7,350.0
15.3,15.0,15.5,0.0,100,1004.8,1.8,2.3,3.5,30.0
15.8,15.5,16.3,0.0,97,1004.8,1.9,2.4,3.8,70.0
16.7,16.3,17.2,0.0,95,1004.8,2.2,2.5,3.6,142.0
17.4,17.0,17.8,0.0,90,1004.8,2.8,3.5,5.4,207.0
18.0,17.3,19.1,0.0,84,1005.1,2.9,4.2,6.1,211.0
19.0,18.6,19.5,0.0,78,1005.2,3.9,4.3,6.3,209.0
19.7,19.2,20.6,0.0,74,1005.2,4.6,5.8,7.9,216.0
19.3,18.7,20.2,0.0,74,1005.1,3.0,4.0,6.1,210.0
19.9,19.0,20.9,0.0,72,1005.1,2.6,3.3,5.9,167.0
19.6,18.6,20.4,0.0,72,1004.9,3.6,4.1,5.8,154.0
19.3,18.7,19.9,0.0,73,1004.8,2.8,3.5,5.1,158.0
18.1,17.6,18.6,0.0,84,1004.9,3.0,3.5,4.7,123.0
17.2,16.2,17.8,7.5,94,1005.3,2.9,3.2,5.5,137.0
16.4,16.1,16.7,0.0,100,1005.4,2.4,2.9,4.1,115.0
15.9,15.5,16.1,0.0,100,1005.3,2.1,2.5,3.8,112.0
15.6,15.4,15.7,0.0,100,1005.3,1.9,2.3,2.9,116.0
15.4,14.8,15.8,0.0,100,1005.1,1.6,2.0,2.6,106.0
15.0,14.7,15.2,0.0,100,1004.9,1.7,1.9,2.5,118.0
14.8,14.7,15.0,0.0,100,1005.0,2.5,3.0,3.9,172.0
14.6,14.4,14.8,0.0,100,1004.9,2.6,3.2,4.1,167.0
14.4,14.3,14.6,0.0,100,1004.4,2.3,3.0,3.7,151.0
14.6,14.4,14.8,0.0,100,1004.2,2.3,2.5,3.3,134.0
15.0,14.7,15.2,0.0,100,1003.9,2.3,2.9,4.0,142.0
15.5,15.1,16.0,0.2,100,1003.6,3.0,3.6,5.6,123.0
16.2,15.9,16.4,0.0,98,1003.4,3.4,3.8,6.6,123.0
16.0,16.0,16.2,0.2,92,1003.4,3.0,3.8,5.2,112.0
15.7,15.4,16.2,0.6,97,1003.2,2.2,3.5,6.2,106.0
16.6,16.2,17.0,0.0,94,1002.6,4.3,4.7,7.7,108.0
17.1,16.8,17.3,0.7,97,1002.6,4.4,6.3,9.1,117.0
17.3,16.8,17.6,0.8,98,1002.5,4.8,5.6,8.8,134.0
17.2,16.9,17.4,0.0,97,1002.5,4.0,4.5,6.6,124.0
16.9,16.4,17.4,7.6,99,1002.3,3.3,4.1,6.1,113.0
16.6,16.3,17.2,3.4,100,1002.5,2.3,3.3,4.7,114.0
17.5,16.9,18.1,2.1,100,1002.5,3.7,4.6,6.9,153.0
18.1,17.9,18.2,0.0,96,1002.3,4.0,5.2,8.3,148.0
18.1,17.9,18.4,0.0,94,1002.3,4.3,5.2,8.0,148.0
18.0,17.9,18.1,0.0,94,1002.5,4.1,4.8,7.2,143.0
17.9,17.7,18.1,0.1,97,1002.5,3.9,4.6,7.2,137.0
17.7,17.6,17.9,0.0,98,1002.6,4.4,5.1,8.0,145.0
17.7,17.6,17.9,0.0,94,1002.6,4.5,5.1,7.4,151.0
17.3,16.8,17.7,0.7,98,1002.6,4.7,5.2,9.0,160.0
16.8,16.8,16.9,0.5,100,1002.3,3.7,4.0,5.8,125.0
16.9,16.8,16.9,0.8,100,1001.6,4.0,4.7,6.7,104.0
16.9,16.8,17.0,0.3,100,1000.9,5.3,6.5,10.0,98.0
17.0,16.8,17.1,0.2,98,1000.2,6.0,6.7,10.6,98.0
17.1,17.0,17.2,0.6,97,999.6,5.0,6.3,10.3,101.0
17.2,17.1,17.3,0.2,99,998.9,4.2,4.7,6.8,108.0
17.5,17.3,17.7,0.9,99,998.6,5.0,6.0,9.3,129.0
18.0,17.7,18.1,0.0,96,998.3,5.1,5.7,9.1,134.0
18.2,18.0,18.6,0.0,95,998.4,5.6,6.0,9.9,136.0
19.1,18.6,19.3,0.0,89,998.4,5.9,7.0,10.4,144.0
19.3,18.9,19.8,0.0,90,998.6,5.4,7.0,10.4,146.0
18.5,17.6,19.6,2.1,95,998.8,6.3,7.0,11.3,154.0
18.2,17.7,18.7,0.7,100,999.4,6.0,6.8,10.6,185.0
19.2,18.2,20.0,0.0,96,999.8,4.2,5.6,9.2,200.0
19.8,19.4,20.7,0.0,88,1000.2,4.2,5.3,8.7,174.0
19.4,19.2,19.9,0.0,89,1000.6,3.8,4.3,7.1,173.0
19.0,18.6,19.2,0.0,92,1000.6,3.5,4.1,6.0,140.0
18.7,18.5,19.0,0.0,94,1000.5,4.3,5.8,8.5,138.0
18.7,18.5,19.0,0.0,90,1000.7,5.3,6.2,9.9,145.0
18.5,18.1,18.6,0.0,93,1001.0,4.5,5.4,8.1,139.0
17.9,17.8,18.1,0.0,96,1001.3,4.3,5.3,7.4,142.0
16.8,16.2,17.8,9.7,99,1001.7,3.4,5.1,9.2,170.0
16.3,16.1,16.7,0.2,100,1001.8,3.2,3.6,4.6,136.0
16.9,16.6,17.1,0.0,100,1001.9,3.5,4.0,6.1,155.0
17.1,17.1,17.2,0.0,100,1002.2,3.5,4.0,6.4,165.0
17.1,16.9,17.1,0.0,100,1002.4,3.4,3.7,6.5,174.0
16.7,16.6,16.9,0.0,100,1002.6,2.4,3.6,4.9,166.0
16.5,16.4,16.6,0.0,100,1002.7,2.7,3.0,4.6,158.0
16.7,16.4,16.9,0.0,100,1002.5,2.4,3.0,4.6,154.0
16.9,16.8,17.0,0.0,100,1002.4,2.4,2.8,4.3,146.0
17.2,17.0,17.5,0.0,100,1002.4,2.5,3.0,4.4,135.0
17.7,17.4,18.0,0.0,100,1002.5,3.0,3.4,5.1,119.0
18.3,18.0,18.5,0.0,97,1002.6,4.3,4.8,6.8,136.0
19.0,18.4,19.5,0.0,90,1002.4,4.1,4.8,6.6,105.0
18.8,17.9,19.4,0.0,88,1002.2,4.9,5.5,8.3,107.0
18.1,17.9,18.3,0.0,91,1002.0,4.7,5.8,10.3,99.0
17.9,17.4,18.5,0.0,92,1001.8,5.0,6.1,9.6,95.0
19.0,18.5,19.5,0.0,89,1001.2,5.3,6.4,10.4,99.0
18.6,18.0,19.3,0.2,96,1001.0,6.5,7.1,11.5,103.0
17.8,17.5,18.0,0.6,98,1000.4,5.0,6.9,10.8,107.0
18.1,17.8,18.3,0.1,99,999.9,6.3,7.2,11.8,103.0
17.9,17.3,18.2,0.4,99,999.4,6.0,8.1,11.7,110.0
17.0,16.8,17.3,1.6,98,998.7,3.8,5.5,7.7,96.0
17.3,17.2,17.5,4.1,100,997.8,6.4,8.5,14.9,107.0
16.3,15.8,17.1,2.0,100,997.6,4.8,8.1,10.2,135.0
15.6,15.5,15.8,0.2,100,997.7,3.6,4.8,6.4,120.0
15.8,15.7,16.0,0.0,100,997.5,2.4,3.0,4.7,132.0
16.7,16.0,17.1,0.0,100,997.9,4.2,4.8,8.5,193.0
17.0,16.9,17.1,0.0,100,998.2,4.5,5.3,8.6,197.0
16.9,16.6,17.0,0.0,100,998.4,4.3,5.0,8.9,200.0
16.5,16.3,16.7,0.0,100,998.6,3.5,4.8,6.7,197.0
16.4,16.2,16.7,0.0,100,998.5,3.1,3.8,6.0,177.0
16.8,16.7,16.9,0.3,100,998.4,4.1,4.9,9.1,165.0
16.9,16.7,17.2,0.0,100,998.5,5.3,6.3,9.8,180.0
17.0,16.8,17.1,0.0,99,998.6,4.6,5.8,8.5,174.0
17.2,16.9,17.6,0.0,97,998.7,4.6,5.3,8.5,170.0
17.6,17.3,18.1,0.0,95,998.8,4.5,5.3,8.9,177.0
17.9,17.4,18.2,0.0,93,999.3,5.2,6.5,10.0,181.0
18.9,18.2,19.4,0.0,87,999.8,5.4,6.6,9.9,186.0
19.1,18.4,20.1,0.0,88,1000.0,5.0,5.9,9.2,171.0
19.0,17.5,20.4,0.8,94,1000.3,5.5,6.7,11.7,183.0
20.2,19.3,20.9,0.0,83,1000.5,5.0,5.8,9.6,178.0
19.0,18.0,19.8,1.0,92,1000.7,5.0,5.6,9.2,178.0
18.0,17.3,19.4,0.6,95,1001.0,5.2,6.3,11.7,205.0
17.3,17.0,17.8,0.0,100,1001.3,6.8,7.8,13.7,214.0
17.4,17.1,17.7,0.2,100,1001.5,6.8,7.8,13.5,210.0
17.5,17.2,17.7,0.0,98,1001.8,7.2,8.0,12.7,217.0
17.3,17.2,17.4,0.0,98,1002.4,5.8,7.2,10.8,227.0
17.1,16.9,17.3,0.0,98,1003.4,5.8,6.8,10.7,238.0
17.1,16.9,17.2,0.0,96,1004.4,5.9,6.5,11.0,244.0
17.3,17.2,17.4,0.0,97,1005.0,5.5,6.0,9.9,236.0
17.4,17.3,17.5,0.0,97,1005.2,5.7,6.2,10.1,232.0
17.3,17.2,17.4,0.0,98,1005.6,5.0,5.9,7.8,232.0
17.0,16.9,17.2,0.0,99,1006.3,5.4,6.2,9.0,232.0
16.4,16.0,16.9,0.0,100,1006.8,4.6,5.8,8.3,240.0
16.0,15.9,16.1,0.0,100,1007.2,4.3,4.7,7.9,232.0
16.4,16.1,16.6,0.0,100,1007.6,4.1,4.8,8.2,233.0
16.7,16.6,16.9,0.0,98,1008.4,4.5,5.0,7.4,237.0
17.3,16.9,18.1,0.0,94,1009.1,4.3,5.1,7.7,242.0
18.5,18.1,19.2,0.0,87,1009.7,4.5,5.3,7.7,237.0
19.9,19.2,20.5,0.0,78,1010.3,4.5,5.5,8.5,245.0
20.4,19.2,21.3,0.0,75,1010.6,5.3,5.9,8.6,227.0
20.8,19.7,21.6,0.0,73,1011.4,5.8,6.5,9.9,224.0
21.2,20.8,21.7,0.0,70,1012.1,6.6,7.6,10.3,218.0
21.4,20.9,21.8,0.0,71,1012.4,6.8,8.2,10.9,219.0
21.3,20.8,21.8,0.0,72,1012.9,7.0,8.0,11.2,221.0
21.8,21.2,22.2,0.0,66,1013.1,6.0,7.2,10.5,225.0
22.3,22.0,22.9,0.0,61,1013.1,5.3,5.9,8.7,233.0
22.3,21.6,22.8,0.0,60,1013.5,5.5,6.7,9.8,235.0
21.7,21.1,22.4,0.0,57,1013.7,5.8,6.8,10.4,238.0
20.7,20.3,21.2,0.0,58,1013.9,4.2,5.2,7.8,242.0
19.8,19.3,20.3,0.0,63,1014.0,4.3,5.2,8.1,237.0
18.7,17.9,19.3,0.0,71,1014.4,2.7,3.6,5.3,215.0
17.1,16.7,17.8,0.0,87,1014.8,2.7,3.5,4.5,201.0
16.6,16.4,16.7,0.0,91,1014.9,3.1,3.6,5.1,219.0
16.2,16.0,16.4,0.0,94,1015.1,2.4,2.9,4.3,208.0
15.8,15.6,16.1,0.0,96,1015.2,1.5,2.3,3.0,183.0
15.5,15.2,15.7,0.0,99,1015.2,1.1,1.5,1.7,142.0
14.6,14.2,15.2,0.0,100,1015.0,0.6,1.1,1.4,92.0
14.1,13.9,14.3,0.0,100,1014.9,1.4,2.1,2.6,53.0
14.1,13.8,14.3,0.0,100,1014.6,2.5,3.0,3.6,38.0
14.8,14.0,16.4,0.0,97,1014.5,2.7,3.2,4.6,44.0
16.6,15.9,17.2,0.0,84,1014.4,2.5,3.2,4.3,35.0
18.1,17.1,18.9,0.0,76,1014.3,2.9,4.0,5.8,55.0
18.8,18.4,19.3,0.0,72,1014.1,3.1,3.6,5.9,72.0
20.1,19.4,21.1,0.0,70,1013.8,3.7,4.3,6.9,87.0
21.6,20.8,22.1,0.0,71,1013.7,4.5,5.3,8.6,100.0
22.0,21.6,22.6,0.0,69,1013.4,5.4,7.0,10.4,104.0
21.6,20.8,22.2,0.0,68,1013.0,5.7,6.5,11.6,98.0
20.9,20.4,21.8,0.0,72,1012.7,4.6,6.3,10.2,78.0
21.6,21.2,22.4,0.0,68,1012.0,6.3,7.7,12.3,83.0
21.9,21.5,22.6,0.0,68,1011.1,7.4,8.5,13.0,93.0
22.1,21.8,22.6,0.0,69,1010.6,8.0,8.8,13.6,92.0
22.4,22.2,22.5,0.0,69,1010.2,6.8,8.0,14.8,89.0
22.5,22.3,22.6,0.0,71,1009.9,6.0,7.8,12.7,83.0
22.4,22.3,22.5,0.0,74,1009.4,6.0,6.8,11.3,82.0
22.1,22.0,22.3,0.0,77,1009.1,6.0,6.9,13.0,84.0
22.1,22.0,22.2,0.0,78,1008.5,6.3,6.7,11.5,83.0
22.1,21.9,22.2,0.0,79,1007.8,6.4,7.2,13.5,86.0
22.1,21.9,22.3,0.0,82,1007.0,6.9,7.7,12.4,87.0
21.8,21.6,21.9,0.0,86,1006.7,6.9,7.5,13.8,90.0
21.2,20.9,21.6,0.0,91,1006.3,6.5,7.6,12.1,95.0
20.8,20.5,21.1,0.0,95,1006.0,6.5,7.3,12.2,103.0
20.6,20.5,20.7,0.0,97,1005.5,4.3,6.3,10.2,99.0
21.0,20.6,21.2,0.0,96,1004.9,4.1,4.7,8.8,96.0
21.6,21.2,21.8,0.0,91,1004.5,5.3,6.3,10.0,100.0
22.2,21.8,22.7,0.0,86,1004.3,5.3,5.9,9.6,104.0
22.9,22.6,23.3,0.0,82,1004.1,5.7,6.5,11.1,103.0
23.2,23.1,23.5,0.0,80,1003.8,6.2,6.9,10.7,99.0
23.9,23.2,24.5,0.0,77,1003.4,7.5,7.9,12.6,102.0
24.7,24.2,25.2,0.0,73,1003.0,7.9,8.9,15.4,99.0
25.5,25.2,25.7,0.0,70,1002.9,8.9,9.5,17.9,100.0
26.0,25.5,26.5,0.0,68,1002.4,9.5,10.4,16.4,101.0
26.7,26.3,27.1,0.0,66,1001.9,9.3,10.1,18.7,103.0
27.2,26.8,27.6,0.0,62,1001.4,9.9,10.4,17.3,106.0
27.8,27.3,28.2,0.0,57,1001.1,10.6,11.3,17.6,108.0
27.9,27.7,28.2,0.0,55,1000.1,9.8,10.8,17.0,104.0
27.8,27.6,27.9,0.0,55,999.4,9.6,10.6,16.3,103.0
27.0,26.6,27.6,0.0,56,999.1,9.4,10.5,15.2,102.0
26.3,26.1,26.6,0.0,57,998.9,8.4,9.4,14.1,101.0
25.4,25.2,26.0,0.0,60,998.7,8.0,9.6,14.3,103.0
24.9,23.5,25.4,0.0,63,998.3,8.9,10.0,15.4,112.0
22.5,22.2,23.3,0.0,76,998.3,6.0,8.1,12.5,115.0
22.2,21.9,22.5,0.0,77,997.6,5.7,6.3,11.1,100.0
21.4,21.2,21.8,0.0,81,996.9,6.1,7.3,11.3,89.0
22.0,21.5,22.7,0.0,76,996.0,7.2,7.9,13.0,93.0
22.7,22.4,22.9,0.0,71,995.1,9.2,9.9,15.5,100.0
22.4,21.9,22.7,0.0,72,995.0,11.6,12.5,19.7,105.0
22.0,21.7,22.3,0.0,74,994.5,10.6,11.9,17.6,103.0
21.5,21.1,21.9,0.0,75,994.1,10.9,12.8,21.6,104.0
21.0,20.9,21.1,0.0,75,994.1,10.7,11.4,18.2,106.0
21.0,20.6,21.5,0.0,71,994.0,12.9,13.8,22.6,107.0
19.6,18.8,20.6,0.0,75,996.0,9.6,12.6,18.5,148.0
19.5,19.0,20.2,0.0,73,997.4,8.4,9.3,15.9,151.0
19.7,19.2,20.3,0.0,71,998.6,8.3,10.2,15.2,146.0
19.8,19.4,20.4,0.0,68,999.9,8.2,9.5,16.0,155.0
19.2,18.6,20.0,0.0,69,1001.2,8.9,9.6,15.7,152.0
19.3,18.8,20.2,0.0,67,1002.5,8.8,10.1,15.7,147.0
19.6,18.8,20.5,0.0,65,1003.5,9.0,10.2,16.4,149.0
19.5,18.9,20.2,0.0,65,1004.2,8.2,9.9,15.2,154.0
19.0,18.6,19.4,0.0,68,1005.1,7.4,8.3,14.8,162.0
18.8,18.0,19.7,0.0,68,1005.8,7.1,8.9,15.2,166.0
17.9,17.5,18.8,0.0,72,1006.6,6.9,7.5,13.2,158.0
17.5,17.4,17.6,0.0,73,1007.1,6.5,7.5,12.7,170.0
17.0,16.8,17.4,0.0,75,1007.7,5.8,7.1,12.6,173.0
16.4,16.2,16.7,0.0,77,1008.2,6.3,6.9,11.5,177.0
16.0,15.7,16.3,0.0,79,1008.8,5.2,6.5,10.9,177.0
15.6,15.4,15.8,0.0,80,1009.5,5.3,5.7,10.4,171.0
15.2,15.1,15.4,0.0,83,1009.9,5.6,6.2,11.3,177.0
15.0,14.7,15.2,0.0,86,1010.2,4.4,6.0,8.8,175.0
14.9,14.6,15.1,0.0,87,1010.6,4.2,5.0,8.4,171.0
14.8,14.6,15.0,0.0,88,1011.0,3.8,4.5,6.6,159.0
14.8,14.6,15.2,0.0,88,1011.6,3.4,3.9,5.9,145.0
16.0,15.2,16.9,0.0,81,1011.8,3.4,4.0,6.1,147.0
17.1,16.7,17.4,0.0,75,1012.1,3.7,4.7,6.8,149.0
17.7,17.3,18.2,0.0,70,1012.7,4.4,5.3,8.0,139.0
18.5,18.0,18.9,0.0,66,1012.9,4.7,5.5,8.3,141.0
